task_id,mcp_ids
650,"[1988, 1260, 4489, 4364, 24, 41, 42, 43, 44, 46, 4403, 5336, 905, 1862, 3300]"
651,"[3335, 4814, 968, 20, 34, 38, 40, 42, 43, 44, 3588, 3634, 425, 4904]"
652,"[2279, 3091, 4627, 2281, 315, 353, 2750, 2751, 3657, 4400, 822, 2240]"
653,"[633, 1309, 460, 1057, 2029, 634, 635, 638, 4056, 1865]"
654,"[4898, 129, 224, 3271, 507, 1130, 1282, 1437, 1546, 1845, 2750, 138, 235, 2749, 2240]"
655,"[3507, 3042, 3043, 5319, 117, 470, 895, 1541, 4474, 5113, 5593, 5588, 5581]"
656,"[1715, 5074, 146, 204, 245, 251, 272, 394, 439, 457]"
657,"[3375, 4314, 22, 25, 27, 30, 32, 33, 35, 36, 1403, 3569, 195, 2357, 3437, 3123, 4369, 167]"
658,"[5185, 2651, 766, 5323, 4001, 4442, 1134, 1136, 1137, 1439, 822, 2240, 1702, 3314, 3555, 5193, 312]"
659,"[38, 40, 42, 43, 44, 46, 47, 49, 52, 53, 1048]"
660,"[4298, 441, 3691, 2769, 4325, 322, 5629, 2386, 2461, 5425]"
661,"[2357, 1857, 5259, 3604, 976, 651, 4419, 156, 1400, 3166, 4503, 2828, 613, 173]"
662,"[676, 817, 930, 939, 1101, 1151, 1250, 1534, 1596, 2045, 5074, 4897, 2362, 214]"
663,"[167, 2072, 3249, 3710, 3254, 2064, 5333, 2005, 2067, 2070, 5018, 1974, 3793]"
664,"[3507, 5319, 3042, 3043, 117, 470, 895, 1541, 4474, 5113, 918]"
665,"[1863, 1415, 2352, 3941, 4798, 4969, 5295, 259, 477, 1917, 2656]"
666,"[2357, 1857, 5259, 3604, 976, 651, 4419, 156, 1400, 3166, 3555, 5221]"
667,"[5185, 4442, 4001, 1134, 1136, 1137, 1439, 2101, 2311, 3313, 122, 2004, 5018]"
668,"[1863, 1415, 2352, 3941, 4798, 4969, 5295, 259, 477, 1917, 4903, 4987, 447, 4391]"
669,"[311, 1296, 5159, 5201, 5202, 5233, 1024, 5338, 5433, 88, 1309, 53]"
670,"[2134, 897, 2769, 119, 428, 436, 444, 1257, 1771, 2141, 5558]"
671,"[3507, 3043, 3042, 5319, 117, 470, 895, 1541, 4474, 5113, 5588, 5581, 5583, 471, 994, 5081, 5373, 5592]"
672,"[4314, 676, 817, 930, 939, 1101, 1151, 1250, 1534, 1596, 2495, 138]"
673,"[266, 4796, 5041, 225, 367, 459, 774, 782, 797, 962, 1309]"
674,"[53, 1305, 1647, 3982, 706, 1684, 196, 1306, 1648, 3573, 2495]"
675,"[633, 460, 1057, 2029, 634, 635, 638, 4056, 1865, 579, 1309]"
676,"[4298, 441, 3691, 4325, 322, 5629, 1879, 2356, 2386, 2461]"
677,"[116, 429, 436, 3817, 5641, 434, 463, 1690, 2152, 2931, 4164, 5259]"
678,"[488, 685, 1764, 3826, 45, 336, 343, 592, 742, 1018, 1824, 1748, 5425]"
679,"[4084, 4894, 33, 35, 36, 37, 40, 48, 50, 51, 4503, 3139, 757, 2164, 3635, 613, 5000]"
680,"[3978, 3981, 5295, 5233, 88, 235, 615, 718, 1339, 1414]"
681,"[2845, 663, 1236, 5217, 5234, 5235, 726, 1669, 2202, 3360, 392, 361, 2973]"
682,"[2084, 1043, 643, 3985, 3851, 4971, 2236, 4061, 4411, 5639, 138]"
683,"[2430, 2441, 632, 825, 876, 4056, 4785, 5275, 678, 1251, 5032, 4196]"
684,"[1519, 575, 4784, 487, 1237, 33, 35, 36, 37, 48, 2281, 2279, 2506, 1424]"
685,"[1740, 1354, 4776, 2019, 918, 1667, 2414, 2711, 2829, 5055, 3200, 214, 1106, 2636, 993, 1809, 1349, 5592]"
686,"[325, 1216, 5450, 504, 846, 1019, 1073, 1369, 1809, 2636, 214]"
687,"[4499, 4844, 3823, 4565, 5293, 4654, 1070, 555, 2273, 2710, 2004, 1106, 2263, 2244, 312, 5558]"
688,"[4499, 37, 48, 50, 51, 54, 56, 58, 59, 60, 918, 4311, 621, 924, 912, 4025]"
689,"[1519, 575, 4784, 487, 1237, 1080, 1958, 690, 3791, 1569, 1403]"
690,"[2991, 1110, 5380, 4775, 1150, 3722, 5003, 5005, 5431, 365, 663]"
691,"[1740, 1354, 4776, 2019, 918, 1667, 2414, 2711, 2829, 5055, 1106, 2506, 31, 1541]"
692,"[1863, 1415, 2352, 3941, 4969, 259, 477, 3884, 1917, 2854, 5295, 4798, 4903, 252, 4987, 2656, 447, 3910]"
693,"[2854, 3884, 4521, 4669, 5360, 902, 903, 931, 1367, 2103, 2247, 5295, 4798, 2851, 4987, 4077]"
694,"[879, 3608, 2177, 2478, 2150, 4067, 5197, 2314, 1086, 334, 214]"
695,"[5321, 489, 989, 1054, 1639, 1885, 1966, 2111, 2121, 2148, 5319, 312, 5588, 5581]"
696,"[5133, 3886, 1801, 4072, 4828, 1423, 1537, 2287, 2822, 3279, 214]"
697,"[429, 3817, 5641, 434, 463, 1690, 2152, 2931, 3243, 3420, 4499, 4164, 3932]"
698,"[2356, 2386, 4111, 5425, 139, 900, 3325, 4115, 96, 148, 5629, 441, 3691]"
699,"[46, 47, 49, 52, 53, 55, 57, 58, 62, 65, 214, 4750]"
700,"[1884, 1545, 2782, 4263, 4899, 324, 3162, 5518, 104, 137, 918, 2302, 1309, 3544]"
701,"[663, 3974, 4476, 365, 901, 4011, 271, 1114, 1785, 2217, 2991]"
702,"[1159, 635, 3945, 2259, 517, 5537, 2733, 996, 2309, 2323, 2004]"
703,"[488, 685, 1764, 3826, 902, 903, 931, 1367, 2103, 2104, 1824, 1748, 5425, 4320]"
704,"[52, 55, 57, 65, 68, 73, 80, 84, 86, 87, 214, 5425]"
705,"[741, 55, 57, 65, 68, 73, 80, 84, 86, 88, 742, 743, 59]"
706,"[4571, 190, 239, 1194, 4674, 4967, 432, 3939, 4387, 4570, 1240, 1309, 15]"
707,"[3319, 3326, 3920, 4139, 4195, 4412, 4458, 4536, 5287, 5606, 4503]"
708,"[2813, 1171, 1172, 1334, 1461, 1649, 2322, 2362, 2748, 4188, 1391, 5110, 1879, 1817, 2461]"
709,"[4499, 3326, 3920, 4139, 4195, 4412, 4458, 4536, 5287, 5606, 5193, 3569, 3437]"
710,"[1024, 5338, 5433, 223, 235, 236, 488, 538, 615, 670, 173]"
711,"[2104, 2105, 2106, 2107, 2167, 2861, 4014, 4168, 4169, 4170, 3395, 4403, 5336, 905, 1862]"
712,"[239, 1194, 4674, 4967, 4387, 4570, 4572, 4675, 5545, 5638, 15, 5259]"
713,"[50, 51, 54, 56, 58, 60, 62, 66, 67, 69, 4503, 3139, 757, 2164, 3635, 613, 5000]"
714,"[3978, 3981, 223, 235, 615, 670, 718, 765, 1184, 1208, 4503, 3528]"
715,"[5133, 3886, 1801, 4828, 1423, 1537, 2287, 2822, 3279, 3397, 4537, 3475, 4861]"
716,"[1884, 1545, 2782, 4263, 4899, 324, 3162, 5518, 137, 271, 2495]"
717,"[2813, 1171, 1172, 1334, 1461, 1649, 2322, 2362, 2748, 4188, 1391, 5110, 1879, 1817, 2461]"
718,"[2845, 663, 1236, 726, 1669, 3360, 4692, 5217, 2202, 3654, 4503, 1390]"
719,"[1236, 726, 1669, 3360, 4692, 5217, 2202, 3654, 4604, 5234, 487, 392]"
720,"[2854, 3884, 4521, 4669, 5360, 254, 577, 716, 1018, 1853, 5295, 4798, 4987, 4391, 918, 4969]"
721,"[1884, 1545, 2782, 4263, 4899, 324, 3162, 5518, 137, 271, 5558]"
722,"[3243, 3420, 3657, 4164, 3814, 81, 82, 110, 152, 173]"
723,"[1305, 1647, 706, 3982, 196, 1684, 1306, 1648, 3573, 1627, 4327]"
724,"[2518, 267, 932, 140, 205, 207, 619, 1073, 1156, 1709, 312]"
725,"[68, 73, 80, 84, 86, 89, 90, 91, 95, 96, 918, 2362]"
726,"[3271, 3940, 4134, 4369, 4524, 2833, 3046, 5308, 5497, 47, 4898]"
727,"[427, 913, 1787, 2414, 2829, 5055, 2650, 994, 1699, 2713, 1046]"
728,"[2279, 3091, 2281, 315, 353, 2750, 2751, 4400, 4624, 4626, 3397, 271]"
729,"[5128, 89, 90, 91, 92, 95, 96, 98, 99, 101, 1106, 3617, 3543, 3193, 1150, 5039, 4977, 3385]"
730,"[2105, 2106, 2107, 2167, 2861, 4014, 4168, 4169, 4170, 4273, 5128, 1106, 3617, 3543, 3193, 1150, 5039, 4977]"
731,"[1136, 1137, 1439, 2101, 2311, 3313, 4185, 4439, 4544, 5075, 4730, 2004, 40]"
732,"[2134, 897, 119, 2141, 3379, 3402, 3685, 3964, 4161, 444, 4792, 3677]"
733,"[1114, 1469, 2018, 2325, 3328, 4301, 4481, 4594, 1785, 2217, 4025]"
734,"[1305, 1647, 706, 3982, 196, 1684, 1306, 1648, 3573, 1627, 918]"
735,"[2107, 2167, 2861, 4014, 4168, 4169, 4170, 4273, 4951, 5082, 1048, 5018]"
736,"[427, 913, 1787, 2650, 994, 1699, 2713, 3362, 3590, 3694, 1106, 5155, 5234, 5259]"
737,"[3654, 4604, 4692, 5234, 5235, 5236, 5029, 267, 130, 475, 2468]"
738,"[2700, 4785, 4804, 5275, 146, 204, 245, 251, 272, 394, 1260, 4503]"
739,"[49, 67, 71, 77, 79, 85, 89, 91, 95, 99, 2345, 1106, 5593]"
740,"[67, 71, 77, 79, 85, 99, 108, 110, 121, 122, 2749, 3091, 905, 2279, 839]"
741,"[685, 1764, 3826, 62, 71, 74, 77, 79, 85, 90, 3528, 1824, 4503, 488]"
742,"[4252, 636, 4948, 3750, 4038, 2466, 233, 4900, 3940, 343, 1106]"
743,"[2518, 932, 1709, 3089, 3658, 4166, 140, 205, 207, 619, 2845]"
744,"[670, 1184, 1487, 1891, 2123, 2331, 2837, 2840, 2932, 3324, 4627, 277, 5016, 4860]"
745,"[4232, 5306, 4418, 1964, 5096, 4106, 2841, 4557, 4845, 5140, 2004]"
746,"[2748, 4188, 645, 1084, 1391, 1446, 1807, 1817, 2024, 2050]"
747,"[5338, 5433, 765, 1208, 1631, 2391, 3021, 3248, 4071, 4277, 3932, 2247, 918, 1309, 2851, 1391]"
748,"[108, 110, 121, 122, 123, 131, 138, 139, 141, 144, 1106, 5593, 4503, 2804, 173, 547]"
749,"[3243, 3420, 4164, 81, 82, 152, 173, 296, 360, 361]"
750,"[1203, 254, 577, 716, 1018, 1853, 1854, 2220, 2257, 2999, 2279]"
751,"[1878, 1489, 2820, 2816, 2434, 2723, 5513, 308, 1555, 1559, 104]"
752,"[4273, 4951, 5082, 5508, 2377, 2311, 2696, 4603, 3791, 5607, 2468, 5193]"
753,"[439, 457, 535, 583, 600, 772, 775, 857, 871, 875, 3335, 968, 3634, 4814, 2004, 1240]"
754,"[4604, 5235, 5236, 5029, 712, 4150, 4433, 130, 475, 1421, 4709, 4492, 2004, 1106, 2468]"
755,"[4626, 4064, 4624, 515, 517, 3080, 4618, 5071, 277, 753, 825, 678, 2430, 1759]"
756,"[1709, 3089, 3658, 4166, 1156, 3238, 3465, 3600, 4046, 4163, 4797, 3820, 2931, 5032, 4196, 3405, 5, 2004]"
757,"[2262, 177, 5246, 2020, 841, 4181, 744, 1146, 2827, 598, 2750, 2749, 1824]"
758,"[718, 1339, 1414, 1515, 1670, 2090, 2238, 2331, 2391, 2503, 765, 1309, 4017, 2807]"
759,"[254, 577, 716, 1853, 1854, 2220, 2257, 2999, 3153, 3412, 742]"
760,"[5321, 489, 989, 1054, 1885, 1966, 2111, 2121, 2627, 3041, 5558, 1106, 5588, 5581, 5583]"
761,"[1114, 1469, 1785, 2018, 2217, 2325, 2439, 3178, 3328, 3616, 4263]"
762,"[2005, 2067, 2070, 3251, 2069, 2604, 3253, 168, 505, 752, 402, 3123, 4369, 167]"
763,"[4624, 4626, 4064, 515, 517, 3080, 4618, 5071, 277, 753, 2495, 1771, 110]"
764,"[3397, 92, 98, 101, 102, 114, 118, 121, 122, 123, 5145]"
765,"[901, 3974, 4011, 4476, 1469, 2018, 2325, 2439, 3178, 3328, 365, 663, 2991]"
766,"[2134, 897, 119, 444, 2141, 2974, 3379, 3402, 3685, 3964, 3604, 822]"
767,"[3493, 1638, 2876, 4671, 829, 2954, 1889, 2976, 603, 105, 138]"
768,"[308, 1555, 3247, 319, 3402, 1559, 2517, 2530, 4369, 4601, 2816, 104]"
769,"[225, 367, 774, 797, 962, 1013, 1102, 1452, 1509, 1510, 1309]"
770,"[633, 460, 1057, 2029, 634, 638, 1865, 579, 3041, 679, 1309]"
771,"[1400, 4419, 156, 3166, 1628, 5256, 1523, 4643, 182, 977, 3405]"
772,"[4758, 4514, 1225, 2222, 5002, 1284, 3644, 2452, 2422, 4241, 1046, 4600, 2004, 1106, 2472, 5486, 207, 40]"
773,"[1013, 1102, 1452, 1509, 1510, 1880, 2000, 2173, 2240, 2294, 1309, 1240]"
774,"[1627, 2327, 4327, 2670, 3113, 3590, 4527, 368, 1274, 2166, 918, 196]"
775,"[98, 101, 102, 114, 118, 123, 128, 130, 131, 139, 1824, 488, 1764]"
776,"[4785, 5275, 2700, 4804, 102, 114, 118, 131, 141, 142, 180, 1106]"
777,"[2070, 3251, 2069, 2604, 3253, 168, 505, 752, 765, 1769, 199]"
778,"[325, 5450, 1216, 504, 846, 1369, 1809, 2636, 2684, 2937, 5584, 5009]"
779,"[308, 1555, 1559, 2517, 2530, 3247, 4369, 4601, 4802, 319, 5259]"
780,"[6, 8, 64, 70, 124, 127, 132, 159, 206, 227, 5193, 1833]"
781,"[676, 817, 930, 939, 1101, 1151, 1250, 1534, 1596, 2045, 3335, 968, 61, 3634, 4814]"
782,"[74, 100, 108, 111, 125, 135, 138, 141, 142, 144, 214]"
783,"[1156, 3089, 3238, 3465, 3600, 3658, 4046, 4163, 4166, 4596, 2518, 3397]"
784,"[645, 1084, 1391, 1446, 1807, 1817, 2024, 2050, 2185, 2214, 5558, 4327, 2004]"
785,"[1628, 5256, 1523, 4643, 182, 236, 977, 1206, 1549, 2807, 2004, 1241, 138]"
786,"[1055, 5461, 168, 3548, 3879, 2460, 3370, 679, 4820, 232, 1106, 5425, 4499, 5593]"
787,"[3397, 92, 142, 144, 148, 152, 153, 154, 162, 164, 2822]"
788,"[2636, 2684, 2937, 3036, 3076, 3200, 3292, 3637, 3720, 3721, 5009, 4537, 5392]"
789,"[2410, 1368, 4589, 3317, 4250, 1824, 3551, 2737, 1874, 804, 5221, 5637, 5535, 1707, 3555, 4432, 2451, 797]"
790,"[3379, 3685, 3964, 2974, 4161, 138, 147, 148, 161, 162, 434, 3604, 2134, 119, 235, 4874, 2303, 3314]"
791,"[3046, 3271, 3940, 4134, 4524, 5308, 5497, 2360, 3261, 2958, 4898, 271]"
792,"[2457, 865, 3595, 2236, 4782, 4500, 3151, 1827, 1643, 2121, 5128]"
793,"[223, 236, 538, 800, 1160, 1184, 1208, 1339, 1414, 1433, 918]"
794,"[2045, 2046, 2219, 2302, 2337, 2420, 2462, 2600, 2810, 2853, 1309, 1240]"
795,"[2974, 4161, 3616, 2832, 999, 2421, 5288, 1954, 3608, 187, 3475, 4861, 4537]"
796,"[2327, 4327, 2670, 3113, 4527, 368, 1274, 2166, 2501, 3087, 918, 196]"
797,"[4951, 5082, 5508, 3792, 4621, 3810, 238, 1970, 3806, 197, 5074]"
798,"[4544, 2101, 3313, 4185, 4439, 5075, 222, 2997, 712, 1796, 5018, 4503, 1208]"
799,"[54, 56, 60, 66, 69, 72, 75, 76, 78, 81, 5016, 1824, 3339, 886, 690, 4636]"
800,"[2937, 3076, 3637, 3720, 3721, 4447, 5337, 5455, 5460, 3036, 214]"
801,"[325, 1216, 5450, 4213, 31, 504, 846, 1019, 1073, 1369, 1349, 68, 5584, 4476, 716, 5592, 5593, 5582]"
802,"[1878, 104, 319, 2816, 3402, 2524, 2040, 3162, 5279, 33, 5133, 108, 85, 4918, 345]"
803,"[2518, 5, 2845, 932, 33, 397, 1596, 1917, 1970, 1975]"
804,"[3517, 5572, 2134, 3604, 1390, 1391, 1414, 3074, 3855, 4278, 1905, 53]"
805,"[5018, 209, 718, 1201, 1762, 3185, 5213, 439, 2412, 3490]"
806,"[104, 1878, 319, 2040, 2816, 3402, 2005, 2485, 2524, 3383, 2099, 1824, 1890]"
807,"[1969, 5029, 2524, 33, 397, 1596, 1917, 1970, 1975, 2005, 4379, 4378, 5593, 653]"
808,"[633, 1309, 634, 635, 638, 4056, 5122, 579, 3041, 397]"
809,"[1596, 1917, 1970, 1975, 2005, 2485, 3383, 3817, 3922, 4108, 214]"
810,"[5018, 5185, 1689, 1400, 1068, 3834, 4442, 4001, 1134, 1136, 40, 797]"
811,"[3763, 2352, 1415, 3941, 2353, 3770, 4756, 5502, 5504, 1564, 1109, 5133, 5182, 252, 2967, 4676, 3655, 2656]"
812,"[115, 251, 2214, 2636, 3699, 5586, 5128, 2485, 3383, 3817, 1065, 3617, 3721, 3720]"
813,"[104, 1878, 5279, 3817, 4108, 319, 2040, 2816, 3162, 3402, 4072]"
814,"[4298, 441, 3691, 4325, 322, 5629, 1879, 2356, 2386, 2461]"
815,"[5018, 2412, 3490, 5319, 209, 439, 718, 1201, 1762, 3185, 950, 1048, 3004]"
816,"[4298, 441, 3691, 4325, 322, 5629, 2386, 1879, 2356, 2461, 1808]"
817,"[2991, 1711, 1491, 5217, 5323, 4775, 2820, 1376, 1489, 2446, 365]"
818,"[3922, 4108, 6, 8, 64, 70, 87, 124, 127, 128, 1527, 5608]"
819,"[1921, 1420, 1481, 1748, 1764, 3533, 3922, 902, 903, 931, 1824]"
820,"[3271, 4898, 1, 2, 4, 7, 9, 10, 11, 14, 2430]"
821,"[3517, 5572, 2134, 3604, 1414, 2159, 1390, 1391, 3074, 3855, 119, 2526]"
822,"[4298, 441, 3691, 4325, 322, 5629, 1879, 2356, 2386, 2461]"
823,"[4624, 1711, 4622, 1863, 353, 2750, 2751, 3657, 4400, 4626, 2141, 1245, 2526]"
824,"[45, 336, 343, 592, 742, 1018, 1701, 1945, 1947, 2059, 4143, 4196]"
825,"[1969, 5029, 61, 103, 263, 402, 407, 410, 411, 631, 2976, 4196]"
826,"[2800, 4571, 395, 16, 195, 914, 2822, 4478, 5268, 239, 4967]"
827,"[3162, 5279, 61, 103, 263, 402, 407, 410, 411, 631, 1109, 3655]"
828,"[902, 903, 931, 1367, 2103, 2104, 2105, 2106, 2107, 2167, 4403, 5336, 905, 5600, 319, 2524, 2485, 1596]"
829,"[781, 1530, 630, 3410, 5559, 92, 1584, 2534, 428, 632, 2920, 5312, 4143, 4476, 716, 2212, 5256, 4121]"
830,"[167, 1376, 2064, 5333, 1075, 1534, 1535, 1657, 21, 168, 2800, 1403, 1424, 2711, 991]"
831,"[743, 59, 741, 742, 146, 204, 245, 251, 272, 394]"
832,"[4624, 1711, 4622, 1863, 2751, 353, 2750, 3657, 4400, 4626]"
833,"[116, 429, 436, 5641, 434, 463, 1690, 2152, 2931, 3243, 4164]"
834,"[4899, 1545, 2782, 4263, 3571, 324, 5, 13, 16, 17, 2817, 3144]"
835,"[2991, 1491, 5217, 5323, 4775, 1376, 1489, 2820, 1490, 2446, 365]"
836,"[266, 1309, 2797, 4796, 2793, 5041, 15, 225, 367, 459]"
837,"[116, 429, 436, 5641, 434, 463, 1690, 2152, 2931, 3243, 4164, 5593, 53]"
838,"[167, 2064, 5333, 1075, 1657, 1534, 1535, 752, 21, 168, 2430]"
839,"[1489, 2820, 5513, 2434, 2723, 4072, 171, 233, 304, 695, 2816, 104, 319, 2040]"
840,"[4948, 56, 2463, 4503, 4807, 118, 301, 324, 361, 392, 1403]"
841,"[1715, 5074, 1858, 2046, 2451, 2566, 2712, 2883, 3588, 3872]"
842,"[3763, 2352, 1415, 3941, 2353, 3770, 4756, 5502, 5504, 1564, 1403, 1853, 5137]"
843,"[2121, 2122, 2123, 578, 173, 613, 961, 1203, 1260, 1937, 1824]"
844,"[325, 1216, 5450, 4213, 31, 504, 846, 1019, 1073, 1369, 4676, 3655, 797]"
845,"[597, 880, 3628, 4609, 1688, 2100, 1748, 184, 5494, 4554, 26]"
846,"[5133, 3886, 1801, 5145, 4828, 1423, 1537, 2287, 2822, 3279]"
847,"[2800, 4571, 395, 16, 195, 190, 914, 2067, 2131, 2822, 1194, 4967]"
848,"[167, 2064, 5333, 1075, 1657, 1534, 1535, 21, 168, 505, 3160, 1966, 1940, 1415, 4543, 4081, 848, 2430]"
849,"[2121, 2122, 2123, 578, 173, 613, 757, 961, 1203, 1208, 3356, 5575, 3922, 1094, 236]"
850,"[1037, 4443, 5193, 4005, 1519, 3342, 4836, 3825, 4448, 2991, 214]"
851,"[5319, 209, 439, 718, 1201, 1762, 2412, 3185, 3490, 5213, 236, 1048]"
852,"[633, 1309, 634, 635, 638, 4056, 5122, 579, 3041, 452]"
853,"[706, 3982, 53, 324, 2327, 4327, 196, 1684, 2670, 3113, 5279, 1824, 5593]"
854,"[1, 2, 4, 7, 9, 10, 11, 14, 15, 23, 4273]"
855,"[706, 3982, 53, 2327, 4327, 196, 1684, 2670, 3113, 3590, 3777]"
856,"[325, 1216, 5450, 4213, 31, 504, 846, 1019, 1073, 1369, 5234]"
857,"[5, 2518, 2845, 932, 140, 205, 207, 619, 1156, 1709, 2558]"
858,"[53, 706, 3982, 3113, 4527, 2327, 4327, 196, 1684, 2670, 324]"
859,"[1545, 2782, 4263, 4899, 3571, 1, 2, 4, 7, 9, 5593, 5275]"
860,"[1627, 2651, 4899, 4901, 1740, 2438, 4900, 1354, 2019, 4776, 5593, 5592]"
861,"[254, 577, 716, 742, 1018, 1853, 1854, 2220, 2257, 2999, 26]"
862,"[3590, 4527, 368, 1274, 2166, 2501, 3087, 3154, 3188, 3588, 2675, 950, 324, 2327, 706, 319, 3982]"
863,"[1715, 5074, 2451, 2712, 3588, 3872, 1858, 2046, 2566, 2883]"
864,"[1037, 14, 20, 26, 29, 34, 38, 40, 42, 43, 214, 1711]"
865,"[1921, 1420, 1481, 1748, 1764, 3533, 687, 4650, 1327, 2749, 4893]"
866,"[20, 26, 29, 34, 38, 40, 42, 43, 44, 46, 5336, 4403, 3588, 905]"
867,"[116, 429, 436, 5641, 434, 463, 1690, 2152, 2931, 3243, 4164]"
868,"[2636, 115, 251, 2214, 3699, 5586, 5128, 449, 1108, 2059, 4476, 2173, 31, 3617, 1541, 3193]"
869,"[13, 17, 19, 22, 25, 27, 30, 32, 34, 35, 15, 2804, 2572, 1527, 5608, 2673, 5593, 2212]"
870,"[2800, 4571, 395, 195, 190, 914, 2067, 2131, 4478, 5268, 4967, 1627]"
871,"[781, 1530, 630, 3410, 5559, 92, 1584, 2534, 428, 632, 654, 1627]"
872,"[4624, 4622, 1863, 4400, 353, 2750, 2751, 3657, 4626, 1177, 632, 2240]"
873,"[266, 2797, 4796, 2793, 5041, 15, 225, 367, 459, 774, 1309, 4196, 5032, 4143]"
874,"[115, 2214, 2636, 3699, 5586, 5128, 2059, 449, 1108, 2198, 2335, 3193, 509, 1945]"
875,"[4474, 3507, 3042, 3043, 5319, 895, 117, 470, 1541, 5113, 5588, 5081, 3200, 471, 5581, 994, 5373, 4476]"
876,"[39, 589, 2205, 2440, 2692, 2736, 2770, 2915, 3319, 3326, 2800, 345]"
877,"[4573, 4084, 4894, 39, 589, 2205, 2440, 2692, 2736, 2770, 214, 1627, 4988, 4143]"
878,"[3420, 4164, 81, 82, 87, 110, 152, 173, 296, 360, 950, 1381]"
879,"[2434, 2723, 5513, 4072, 3104, 5234, 171, 233, 236, 304, 2816, 104, 5575, 4893]"
880,"[2799, 3397, 3902, 4653, 5238, 5239, 902, 903, 931, 1367, 950]"
881,"[1627, 2651, 4901, 1740, 2438, 4900, 1354, 4776, 2019, 918, 4143, 4476, 5312]"
882,"[266, 2797, 4796, 2793, 5041, 225, 367, 459, 774, 782, 1309, 4523]"
883,"[5185, 1689, 1400, 1068, 3834, 1136, 4544, 4442, 4001, 1134, 4919]"
884,"[633, 4056, 634, 635, 638, 5122, 3041, 579, 219, 529, 1309, 2822]"
885,"[4474, 3507, 3042, 3043, 895, 117, 470, 1541, 5113, 5321, 5234, 1109, 5203]"
886,"[5213, 1048, 939, 944, 3574, 4136, 5210, 5327, 583, 655, 5018, 4196, 1109]"
887,"[219, 529, 636, 2160, 2247, 2807, 3140, 3330, 3852, 4779, 1309]"
888,"[2357, 4419, 819, 5259, 1857, 3087, 976, 1400, 156, 3166, 53, 601, 4881, 4897, 5257]"
889,"[4111, 5425, 4969, 139, 900, 3325, 4115, 386, 1102, 1731, 441, 3691]"
890,"[5159, 3157, 311, 1296, 1208, 4799, 5201, 5202, 3978, 3981, 1069, 2920]"
891,"[5159, 3157, 311, 1296, 1208, 4799, 5201, 5202, 3978, 3981, 4957, 3193, 5275, 1527, 5608, 3324, 2526]"
892,"[1491, 5217, 5323, 4775, 1490, 3617, 2446, 2659, 5222, 5513, 2991]"
893,"[219, 529, 550, 636, 637, 1085, 1771, 2160, 2247, 2807, 1309]"
894,"[2121, 2122, 2123, 578, 613, 757, 961, 1203, 1260, 1390, 5047, 53, 5640, 4897, 4881]"
895,"[505, 752, 765, 1769, 2862, 4456, 2004, 574, 1229, 2563]"
896,"[2518, 2845, 932, 140, 205, 207, 619, 1156, 1709, 3089, 1527, 5608, 595, 950]"
897,"[2813, 409, 1171, 1172, 1334, 1461, 1649, 2322, 2362, 2748, 3643, 797, 2675, 2004]"
898,"[2357, 4419, 819, 1857, 5259, 3087, 976, 156, 3166, 1628, 5593, 2526, 5616, 2013]"
899,"[4573, 4084, 4894, 13, 17, 19, 22, 25, 27, 30, 82, 330, 613]"
900,"[781, 1530, 630, 3410, 5559, 1584, 2534, 92, 428, 632, 4196, 5032]"
901,"[1627, 2651, 4901, 1740, 2438, 4900, 1354, 4776, 2019, 918, 1687, 214, 5450]"
902,"[4474, 3507, 3042, 3043, 895, 117, 470, 1541, 5113, 5321, 5203, 4676]"
903,"[5185, 1689, 1068, 3834, 4442, 1134, 1137, 1439, 2311, 3313, 1853, 2021, 254, 53]"
904,"[3335, 4814, 1694, 1695, 2079, 3989, 4476, 968, 901, 3974, 5312, 3634]"
905,"[1715, 5074, 2046, 2883, 4564, 1858, 2451, 2566, 2712, 3872]"
906,"[2067, 239, 1067, 1403, 1801, 3787, 4674, 190, 2131, 4478, 4967, 15]"
907,"[1545, 2782, 4263, 3571, 6, 8, 64, 70, 87, 124, 4988, 236]"
908,"[2434, 2723, 4072, 171, 479, 553, 720, 792, 1093, 1094, 104, 2816, 601]"
909,"[2813, 409, 1171, 1334, 2322, 2362, 1172, 1461, 1649, 2748]"
910,"[743, 59, 741, 254, 577, 716, 1018, 1853, 1854, 2220, 742]"
911,"[449, 1108, 2198, 2612, 2964, 3121, 3469, 3538, 3605, 3728, 3193, 509, 5128]"
912,"[5159, 3157, 311, 1296, 4799, 5201, 5202, 3978, 3981, 4798, 277]"
913,"[1809, 2684, 2937, 3036, 3076, 3200, 3292, 3637, 3720, 3721, 5234]"
914,"[233, 304, 695, 720, 890, 892, 1012, 1245, 1258, 1348, 2816, 319]"
915,"[3517, 5572, 2134, 3604, 1414, 2159, 1391, 3074, 3855, 4278, 178, 2046, 119, 3588, 375, 3974]"
916,"[4798, 5295, 2440, 2171, 5233, 27, 88, 223, 235, 488, 2920, 5275]"
917,"[685, 4499, 686, 254, 577, 716, 1853, 1854, 2220, 2257, 1824]"
918,"[685, 4499, 686, 19, 22, 25, 30, 32, 35, 36, 4143, 3709]"
919,"[3271, 4898, 1242, 4710, 5011, 5546, 147, 2995, 4722, 5097, 4196, 5032]"
920,"[3335, 4814, 2079, 3989, 968, 1694, 1695, 901, 4011, 3974, 3139, 5256, 2817, 4121, 3634]"
